File | Lines | Non-empty lines
--- | ---: | ---:
.gitignore | 42 | 32
MANIFEST.in | 10 | 8
requirements.txt | 6 | 6
pyproject.toml | 47 | 42
setup.cfg | 38 | 34
setup.py | 110 | 96
constraints.txt | 7 | 7
run_demo.py | 49 | 41
backtesting/__init__.py | 115 | 87
backtesting/backtesting.py | 1292 | 1108
backtesting/lib.py | 459 | 384
backtesting/_util.py | 371 | 304
backtesting/_stats.py | 255 | 217
backtesting/_plotting.py | 766 | 667
backtesting/autoscale_cb.js | 48 | 41
backtesting/test/__init__.py | 33 | 23
backtesting/test/__main__.py | 14 | 11
backtesting/test/_test.py | 1289 | 1085
tools/count_lines.py | 67 | 55
TOTAL | 5018 | 4248
